Date,Number_of_Transactions,Number_of_Coinbase_Transactions,Coinbase_Transactions_Output_Total,Number_of_Zero_Fee_Transactions,Total_Size_of_Transactions,Mean_Size_of_Transactions,Median_Size_of_Transactions,StdDev_Size_of_Transactions,Total_Weight_of_Transactions,Mean_Weight_of_Transactions,Median_Weight_of_Transactions,StdDev_Weight_of_Transactions,Total_Input_Count,Mean_Input_Count,Median_Input_Count,StdDev_Input_Count,Total_Output_Count,Mean_Output_Count,Median_Output_Count,StdDev_Output_Count,Total_Input_Total,Mean_Input_Total,Median_Input_Total,StdDev_Input_Total,Total_Output_Total,Mean_Output_Total,Median_Output_Total,StdDev_Output_Total,Total_Fees,Mean_Fees,Median_Fees,StdDev_Fees,Fee_per_KB
07/11/2019 00:00,324487,135,1.72724E+11,137,159124367,490.3874947,249,2232.157297,499311548,1538.772117,892,7042.457825,749279,2.309118701,1,12.96888434,787235,2.42609103,2,15.05014155,1.37239E+14,422940290.3,3647003,9557470624,1.37407E+14,423460341.9,3650000,9557480454,3973640604,12245.91618,5863,69356.78339,24971.91775
08/11/2019 00:00,311441,128,1.64089E+11,131,149177768,478.9920659,249,1999.150092,466937750,1499.281565,892,6049.794551,691602,2.220651745,1,11.40759211,773847,2.484730655,2,14.87353384,1.33207E+14,427712032.1,4514965,9815235216,1.33367E+14,428225773,4522535,9815244831,4088879104,13128.90436,6554,63201.06469,27409.44015
09/11/2019 00:00,306163,144,1.82944E+11,146,153033139,499.8420417,249,2811.6382,482520655,1576.025369,892,8674.432982,729903,2.384033995,1,16.76831704,754789,2.465317494,2,16.28452904,1.04623E+14,341724229.6,2956471,7440940711,1.04803E+14,342312151.7,2961223,7440962542,2944260954,9616.645231,4697,56886.06904,19239.3685
10/11/2019 00:00,299712,166,2.09887E+11,168,137623978,459.1874133,283,2418.488272,444625741,1483.509973,820,8976.01023,640129,2.135813714,1,15.23931438,719723,2.401381993,2,16.19514336,6.83236E+13,227964232.7,1481786,6128877500,6.85311E+13,228656564,1481331.5,6128922199,2386642196,7963.118581,3402,53980.41825,17341.76145
11/11/2019 00:00,326707,151,1.91706E+11,153,151535462,463.8267989,256,1929.017978,483168578,1478.904884,892,6242.829524,693219,2.121836998,1,10.80748582,794126,2.430697842,2,15.47614485,7.95349E+13,243444152,2120000,5771777042,7.97237E+13,244021886.7,2119983,5771815309,2956238739,9048.593201,3520,56938.8138,19508.56057
12/11/2019 00:00,301382,135,1.71616E+11,137,139593892,463.1792609,249,1958.647514,440601415,1461.936728,892,6091.921964,639799,2.122883915,1,10.92314857,746671,2.477490361,2,16.71108067,1.01822E+14,337848848.8,2668443,7361389231,1.0199E+14,338408769.4,2672164.5,7361410541,2865525709,9507.952396,3890,54781.94609,20527.58662
13/11/2019 00:00,318945,135,1.72182E+11,137,155968238,489.0129583,249,2122.991665,498484742,1562.917563,896,6632.412777,728934,2.285453605,1,11.80816889,781041,2.4488266,2,16.32441464,1.32943E+14,416821178.9,3127346,9796449549,1.33112E+14,417350267,3129628,9796459462,3431516352,10758.95954,5034,56859.05933,22001.37923
14/11/2019 00:00,350023,169,2.14214E+11,171,165832066,473.7747691,256,2728.863419,516951097,1476.90608,892,7591.621522,752705,2.150444399,1,14.79043893,835306,2.386431749,2,15.13856119,1.21483E+14,347070811.7,2172000,8316240110,1.21694E+14,347674343.5,2173442,8316259282,2964079727,8468.242735,3570,54283.55317,17873.9842
15/11/2019 00:00,325145,158,2.00465E+11,160,175896735,540.9793631,249,2724.026136,581278995,1787.753141,892,9865.891064,828904,2.54933645,1,14.80497719,822083,2.528358117,2,16.07961447,1.27851E+14,393213767.1,3500706,8275912507,1.28049E+14,393821188.4,3503667,8275928791,2964859081,9118.575039,3421,54416.238,16855.68002
16/11/2019 00:00,283468,148,1.87293E+11,150,173370330,611.6045903,249,3208.260043,583045092,2056.828609,892,11360.79625,877757,3.096494137,1,19.47315994,710523,2.506536893,2,17.04598377,6.93232E+13,244554037.9,2526341.5,4774236293,6.95082E+13,245206668.9,2532327,4774288800,2293336843,8090.284769,2725,53557.20926,13227.96607
17/11/2019 00:00,264370,154,1.94608E+11,156,170697390,645.6760979,256,3385.236706,564458646,2135.108545,863,11816.309,875042,3.309914135,1,20.84440274,648026,2.451208533,2,16.24907144,6.30206E+13,238380476.2,2009406.5,4784264409,6.32131E+13,239108622.4,2011322,4784323542,2108122965,7974.138386,2079,69034.77641,12350.05975
18/11/2019 00:00,304671,140,1.77783E+11,142,142655075,468.2266281,249,1947.229175,454388393,1491.406773,894,6288.830442,657198,2.157074352,1,11.04098256,741645,2.434248747,2,12.31500331,1.32893E+14,436184380,3044649,8349960724,1.33068E+14,436758770.1,3044573,8349971878,2782718296,9133.518766,3569,59288.20686,19506.6197
19/11/2019 00:00,327630,147,1.87187E+11,149,168128968,513.1671947,249,2758.622638,534478681,1631.348414,896,7773.029327,799569,2.440463328,1,15.90417408,798793,2.438094802,2,13.18038005,9.5499E+13,291484205.8,3434193.5,4822493148,9.56827E+13,292045051.8,3438297.5,4822531709,3436839889,10490.00363,4775,52842.14135,20441.68789
20/11/2019 00:00,321086,142,1.80236E+11,144,145669475,453.6774416,250,1915.863535,463125656,1442.372623,892,6113.876765,649837,2.023872109,1,10.07728957,783440,2.439969354,2,12.59528336,7.98785E+13,248776000.2,2495389.5,4662165626,8.0056E+13,249328811.6,2495343,4662209125,2736373955,8522.246236,3722,66559.05635,18784.81374
21/11/2019 00:00,323954,137,1.74936E+11,139,166372366,513.5678707,249,2382.03283,514162441,1587.14645,892,6722.365943,756370,2.334806794,1,13.34496463,896195,2.766426715,2,15.16107311,1.61482E+14,498472285.7,3812788.5,5651265666,1.61653E+14,499000910.1,3814994.5,5651274709,3685944226,11377.98646,4545,79748.80404,22154.78637
22/11/2019 00:00,310539,132,1.69002E+11,135,165085184,531.6085387,249,2259.523102,524628281,1689.411897,896,7288.4589,748634,2.410756781,1,12.43272436,882005,2.840239068,2,17.2047035,1.57165E+14,506105473.1,5149938,13205581068,1.5733E+14,506636807.3,5159019,13205582764,4002095823,12887.57877,5481,62252.09787,24242.61055
23/11/2019 00:00,306424,173,2.18405E+11,175,145568411,475.0555146,251,1824.914813,445105325,1452.57984,863,5385.9499,664551,2.168730256,1,10.2441508,780028,2.545583897,2,12.82180998,1.00868E+14,329177117.1,3106863.5,4797904465,1.01084E+14,329882838.6,3118682,4797946287,2154802760,7032.095267,2897,39511.98424,14802.68106
24/11/2019 00:00,267368,131,1.65451E+11,133,114691871,428.9663348,254,1430.219989,357735992,1337.991054,854,4574.323318,507080,1.896562042,1,7.784105902,656643,2.455952096,2,13.87015158,8.22786E+13,307735381.4,2242372,10025911632,8.24423E+13,308347833.1,2244700.5,10025931137,1701472240,6363.784148,2838,29204.39224,14835.15985
25/11/2019 00:00,279470,125,1.59468E+11,127,134499815,481.2674527,249,2182.038383,415261850,1485.890614,892,5940.984089,598642,2.14206176,1,10.63932485,704345,2.520288403,2,14.1542854,1.31496E+14,470520379.2,4166550,7119952071,1.31653E+14,471079473.2,4166120.5,7119961717,3218493307,11516.41789,5040,67800.90268,23929.35118
26/11/2019 00:00,321310,122,1.56487E+11,124,152988520,476.1399272,248,1942.813903,487218652,1516.350727,896,5772.412242,703138,2.188347702,1,10.90503106,782507,2.435364601,2,13.56839347,1.17129E+14,364534300.3,4808753.5,5703679965,1.17281E+14,365008919.9,4812230.5,5703701812,3986894065,12408.24769,6801,42845.84614,26060.0865
27/11/2019 00:00,317597,139,1.77136E+11,142,164794248,518.8784781,249,2975.435514,506141793,1593.660497,892,7634.298868,769239,2.422060032,1,16.62720311,784969,2.471588208,2,14.72339671,1.01282E+14,318902451.1,4154100,8529289667,1.01456E+14,319449528.1,4159109,8529308317,3386031284,10661.40828,5214,63324.41331,20547.02349
28/11/2019 00:00,309623,163,2.06367E+11,165,142357619,459.7772743,249,2055.970405,444808691,1436.613853,892,5766.248481,650538,2.101064843,1,11.38434011,756609,2.443645982,2,14.147796,7.62851E+13,246380439,3612744,2927736207,7.64888E+13,247038497.4,3617679,2927822300,2617198877,8452.856787,3859,36408.41122,18384.67723
29/11/2019 00:00,311290,136,1.73271E+11,138,143539137,461.1106589,249,1756.760477,449155500,1442.884449,896,5274.428219,660287,2.121131421,1,9.804787969,767293,2.464881622,2,14.53875823,9.89828E+13,317976200.2,4021797.5,4388333080,9.91528E+13,318522314.8,4023558.5,4388368518,3270649438,10506.76038,5012,47670.7015,22785.76775
30/11/2019 00:00,277458,126,1.60223E+11,128,134880430,486.1291799,249,2224.127822,422567485,1522.996219,892,6308.900619,616616,2.222375999,1,12.03704893,694430,2.502829257,2,16.47115949,7.4928E+13,270051759.1,3056252.5,3951740623,7.50855E+13,270619412.6,3059458.5,3951789545,2723029381,9814.203883,4914,51393.6016,20188.46901
